week_start,net_sales,cost_facebook_ads,cost_google_ads,cost_bing_ads,cost_pinterest_ads,cost_tiktok,cost_trade_desk,direct_sessions,organicsearch_sessions,email_sessions,referral_sessions
2023-06-26,89227.67,5083.529999,4866.974524,0,0,0,0,4920,4613,2990,335
2023-07-03,315951.89999999991,14064.849999999999,15332.101635,0,0,0,0,19647,17454,20609,2582
2023-07-10,291129.51,11130.52,11266.255054000001,1431.639999,0,0,0,18975,18914,13347,2889
2023-07-17,537189.07000000007,13956.609999,8155.8449879999989,0,0,0,0,21283,20149,24851,3257
2023-07-24,322195.41000000003,31967.809999,11818.230835,2239.429995,0,0,0,21040,21532,15576,3249
2023-07-31,346426.06,33168.649999,12722.151308,1139.719997,0,0,0,21028,21158,11451,3884
2023-08-07,321323.02000000008,28564.149999999998,12008.186982000001,721.28999800000008,0,0,0,21420,24294,15423,4378
2023-08-14,347667.87,29500.93,12776.642308999999,727.12999800000011,0,0,0,20227,22775,13547,3802
2023-08-21,337060.00999999995,28270.329999,14303.540202,722.089999,0,0,0,22133,25077,15717,3262
2023-08-28,352248.44000000006,33552.459998000006,12417.587453,718.109997,0,0,0,22300,27610,19140,3356
2023-09-04,407425.48,32736.729999999996,15753.599791999999,723.139998,0,0,0,22921,26295,21718,3739
2023-09-11,359434.92999999993,34085.89,16266.491558999998,725.41000000000008,0,0,0,22708,24959,13095,4248
2023-09-18,362458.58,43283.969999999994,23332.221810000003,723.299998,0,0,0,23812,24845,13800,4277
2023-09-25,427116.41000000003,47880.76,21480.432561,665.1,0,0,0,23961,26586,19557,4681
2023-10-02,456265.08000000007,61754.259997000008,23527.084835999998,751.38,0,0,0,24996,26908,22216,4233
2023-10-09,577139.41,62482.459995,29921.942186,722.56999600000006,0,0,0,28649,33386,26674,4393
2023-10-16,540131.6,63416.889998999992,42383.515147,622.07999899999993,0,0,0,32641,33322,18107,5197
2023-10-23,542526.29,62446.84,34310.497665999996,733.919998,0,0,0,31970,34127,13963,4429
2023-10-30,729577.39,81299.139998,37744.56292,1100.149999,0,0,0,34647,43358,19485,4998
2023-11-06,723539,89699.36,46553.293178,2215.02,0,0,0,37167,47955,20695,5306
2023-11-13,772934.36,93765.829999999987,51385.260252,1530.9399980000003,0,0,0,43587,53092,24102,6139
2023-11-20,1821701.6500000001,141008.31,78680.807572,1113.989998,0,0,0,75254,93686,47924,9305
2023-11-27,2056200.52,167559.40999900002,83732.199241,1008.3399929999999,0,0,0,69414,82935,45962,10102
2023-12-04,2197017.55,178260.42999899999,101922.889814,1052.989998,0,0,0,75738,70610,54508,10227
2023-12-11,2264682.67,173858.77,74789.019122,1044.079999,0,0,0,69912,74390,32553,9491
2023-12-18,755219.03,34957.3,21840.022619,900.23999599999991,0,0,0,45033,46166,20536,5184
2023-12-25,632998.75,29307.739998999998,18552.193515000003,898.969995,0,0,0,39939,47563,19133,4978
2024-01-01,615317.55999999994,44910.859997999993,36133.530625999992,727.259995,0,0,0,38856,46082,15543,5500
2024-01-08,638957.12,48901.099998,36716.094312999994,680.649997,0,0,0,36772,44340,35852,5608
2024-01-15,651510.47,49329.079999,34272.203155,665.99999500000013,0,0,0,64911,51527,26329,5891
2024-01-22,500156.88,47969.840000000004,31229.717556000003,663.41999300000009,0,0,0,34837,41140,21094,4996
2024-01-29,504683.1,48922.059999000005,31241.170294,755.709996,0,0,0,35394,34913,17087,4384
2024-02-05,565072.49,49063.809999,36795.64305,705.80999700000007,0,0,0,34023,31249,23377,4523
2024-02-12,456947.47999999992,49054.729997999995,30499.386821,727.369998,0,0,0,33337,35241,23431,4349
2024-02-19,468787.32000000007,56113.109999,23534.263249000003,750.75999900000011,0,0,0,30749,34276,17616,4276
2024-02-26,512897.76,60309.659998999996,27286.820654999996,1476.149993,0,0,0,35840,32435,19527,4399
2024-03-04,447569.87,52621.449999000004,25980.099310999998,1111.9599940000003,0,0,0,27546,31309,18480,3785
2024-03-11,417992.59,51760.16,23833.80828,1010.839997,0,0,0,28101,30690,8301,3953
2024-03-18,461556.73,49327.239999,21111.47829,1181.909998,0,0,0,29728,32337,15694,3773
2024-03-25,437107.93,48814.029999,36473.384162,963.01999799999987,0,0,0,36590,32432,15711,3618
2024-04-01,466589.37,38717.759999,18276.465557000003,1065.889996,0,0,0,33351,34596,33848,4174
2024-04-08,571943.92999999993,34923.409999999996,6017.705028,991.479996,0,0,0,27545,29754,27713,4133
2024-04-15,454712.87,23881.359997,10825.733607999999,760.859998,0,0,0,26585,30800,45676,3612
2024-04-22,424152.8,21891.919999,10651.988386,767.359997,0,0,0,29838,32934,25474,5544
2024-04-29,627718.84000000008,38307.649999,9288.8018010000014,696.229999,0,0,0,32777,34619,41627,6332
2024-05-06,425716.52999999997,30770.909998000003,10437.992827,660.81000000000006,0,0,0,29138,31380,16261,7123
2024-05-13,426897.20999999996,33293.189998999995,11071.609121,657.97999600000014,0,0,0,29739,35323,23208,4298
2024-05-20,408755.59000000008,46887.809998,14929.669291999999,602.079997,0,0,0,26438,33169,17612,3758
